Magn¨²s M. Halld¨®rsson,colorings,wireless,approximating,graphs,capacity,scheduling,power,coloring
Yu Xu,search,pix,data,handling,xml,dbms,parallel,hadoop,phrase,joins,matching,efficient,xquery,keyword,outer,skew
Iosif Lazaridis,quality,queries,approximate
Mingsheng Hong,processing,publish/subscribe,systems,multi-query
John A. Stankovic,active,real-time,experimental,databases,database
Jeff G. Schneider,models,learning,categorical,detection,datasets,functions,link,probabilistic,anomaly,accuracy,value,systems,efficiently
Sholom M. Weiss,data,lightweight,mining
Sunil Prabhakar,managing,untrusted,load,data,control-based,imprecise,streams,queries,threshold,approach,indexing,rights,sensor,support,stream,query,probabilistic,uncertain,databases,rule-based,classification,relational,systems,protection,management,database,shedding
Min Zhang,search,feature,engine,behavior,data,web,selection,automatic,analysis,information,user
Mario Schkolnick,international,data,conference,design,proceedings,database
Ashish Verma,crm
Omri Palmon,flow,multicommodity
Ilya Volkovich,testing,circuits,identity,depth-4,multilinear
Nitin Indurkhya,lightweight
Himanshu Gupta,warehouse,data,selection,maintenance,helping,prototype,creation,whips
Juliana Freire,managing,schema,opportunities,content,provenance,dynamic,data,documents,web,exploring,labels,xml,statistics,form,querying,repositories,query,databases,relational,vistrails,challenges,online,storage
Stefano Rizzi,data
Satoshi Nakamura,browsing
Roberto De Virgilio,data,semantic
Yoshiki Mikami,web
W. Bruce Croft,supporting,information,full-text,retrieval,database
Alejandro P. Buchmann,data,exploiting,control,active,real-time,general,concurrency,framework,research,databases,applications,database
Jinfei Liu,privacy
Lyman Do,data,transactions,distributed
Scott Klasky,data
Fei Wang,clustering,learning,semi-supervised
Ali Dasdan,search,engine,data,web,metrics,urls,game,rank,results,thumbs-up,playing
Arto Klami,bayesian,cca
Rajat Raina,learning,transfer
Xiaowei Xu,clustering,networks,detection,large,algorithm,spatial,databases,structural,mining
Boyu Hao,data,streams,uncertain,frequent,mining
Marie-Fran?oise Roy,semi-algebraic,computing,sets
Robert F. Murphy,images
Haibing Lu,optimal,boolean,matrix,private
Yuchang Lu,learning,bayesian,networks
Matthew V. Mahoney,learning,detection,traffic,anomaly,network
Yingjiu Li,data,approach,privacy,private,mining
Chidanand Apt¨¦,reinforcement,data,learning,empirical,marketing,targeted
Edward Y. Chang,limited,collaborative,image,data,web,learning,boundary,parallel,filtering,information,support,adaptive,query,kernel,machines,speeding,factorization,media,management,vector
Benjamin M. Marlin,collaborative,models,sparse,filtering,matching,gaussian
Jurgen Van Gael,user
Eva Armengol,induction
Cecilia Magdalena Procopiuc,clustering,projective,fast,approximation,algorithms
Saso Dzeroski,models,discovery,reinforcement,data,meta,experiments,equation,dynamics,ensembles,clustering,learning,equations,logic,better,streams,stacking,multiple,discovering,regression,meta-level,programs,predictive,trees,decision,multi-target,inducing,relational,combining,mining,rule,ilp
Georgios Evangelidis,node,concurrency,recovery,supporting,consolidation
Sergio Ilarri,mobile,wireless
Michal Rosen-Zvi,models,author-topic,inference,approximate
Anindya Ghose,search,engine,product,theory
Toshihisa Takagi,biomedical
Alon Rosen,concurrent,non-malleable,protocols,logarithmic,two-party,computation,cryptographic,secure,rounds
Harrick M. Vin,data,infrastructure,servers,support
